geo_type,region,transportation_type,alternative_name,sub-region,country,date,rel_mobility
city,Columbia,driving,NA,South Carolina,United States,2020-04-18,71.79
city,Columbia,driving,NA,South Carolina,United States,2020-04-19,49.92
city,Columbia,driving,NA,South Carolina,United States,2020-04-20,70.27
city,Columbia,driving,NA,South Carolina,United States,2020-04-21,74.58
city,Columbia,driving,NA,South Carolina,United States,2020-04-22,75.63
city,Columbia,driving,NA,South Carolina,United States,2020-04-23,71.84
city,Columbia,driving,NA,South Carolina,United States,2020-04-24,87.37
city,Columbia,driving,NA,South Carolina,United States,2020-04-25,78.68
city,Columbia,driving,NA,South Carolina,United States,2020-04-26,60.87
city,Columbia,driving,NA,South Carolina,United States,2020-04-27,77.8
city,Columbia,driving,NA,South Carolina,United States,2020-04-28,81.56
city,Columbia,driving,NA,South Carolina,United States,2020-04-29,80.77
city,Columbia,driving,NA,South Carolina,United States,2020-04-30,86.15
city,Columbia,driving,NA,South Carolina,United States,2020-05-01,97.74
city,Columbia,driving,NA,South Carolina,United States,2020-05-02,88.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-03,68.49
city,Columbia,driving,NA,South Carolina,United States,2020-05-04,87.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-05,89.67
city,Columbia,driving,NA,South Carolina,United States,2020-05-06,92.8
city,Columbia,driving,NA,South Carolina,United States,2020-05-07,97.08
city,Columbia,driving,NA,South Carolina,United States,2020-05-08,107.29
city,Columbia,driving,NA,South Carolina,United States,2020-05-09,103.18
city,Columbia,driving,NA,South Carolina,United States,2020-05-10,72.95
city,Columbia,driving,NA,South Carolina,United States,2020-05-11,NA
city,Columbia,driving,NA,South Carolina,United States,2020-05-12,NA
city,Columbia,driving,NA,South Carolina,United States,2020-05-13,103.04
city,Columbia,driving,NA,South Carolina,United States,2020-05-14,109.23
city,Columbia,driving,NA,South Carolina,United States,2020-05-15,124.72
city,Columbia,driving,NA,South Carolina,United States,2020-05-16,114.21
city,Columbia,driving,NA,South Carolina,United States,2020-05-17,89.28
city,Columbia,driving,NA,South Carolina,United States,2020-05-18,104.67
city,Columbia,driving,NA,South Carolina,United States,2020-05-19,106.83
city,Columbia,driving,NA,South Carolina,United States,2020-05-20,105.09
city,Columbia,driving,NA,South Carolina,United States,2020-05-21,118.1
city,Columbia,driving,NA,South Carolina,United States,2020-05-22,134.93
city,Columbia,driving,NA,South Carolina,United States,2020-05-23,124.83
city,Columbia,driving,NA,South Carolina,United States,2020-05-24,89.15
city,Columbia,driving,NA,South Carolina,United States,2020-05-25,92.97
city,Columbia,driving,NA,South Carolina,United States,2020-05-26,111.88
city,Columbia,driving,NA,South Carolina,United States,2020-05-27,107.89
city,Columbia,driving,NA,South Carolina,United States,2020-05-28,122.95
city,Columbia,driving,NA,South Carolina,United States,2020-05-29,128.19
city,Columbia,driving,NA,South Carolina,United States,2020-05-30,129.88
city,Columbia,driving,NA,South Carolina,United States,2020-05-31,94.2
city,Columbia,driving,NA,South Carolina,United States,2020-06-01,116.94
city,Columbia,driving,NA,South Carolina,United States,2020-06-02,114.65
city,Columbia,driving,NA,South Carolina,United States,2020-06-03,119.59
city,Columbia,driving,NA,South Carolina,United States,2020-06-04,125.76
city,Columbia,driving,NA,South Carolina,United States,2020-06-05,145.47
city,Columbia,driving,NA,South Carolina,United States,2020-06-06,136.5
city,Columbia,driving,NA,South Carolina,United States,2020-06-07,100.39
city,Columbia,driving,NA,South Carolina,United States,2020-06-08,121.03
city,Columbia,driving,NA,South Carolina,United States,2020-06-09,125.58
city,Columbia,driving,NA,South Carolina,United States,2020-06-10,121.44
city,Columbia,driving,NA,South Carolina,United States,2020-06-11,126.16
city,Columbia,driving,NA,South Carolina,United States,2020-06-12,148.63
city,Columbia,driving,NA,South Carolina,United States,2020-06-13,140.16
city,Columbia,driving,NA,South Carolina,United States,2020-06-14,104.84
city,Columbia,driving,NA,South Carolina,United States,2020-06-15,119.95
city,Columbia,driving,NA,South Carolina,United States,2020-06-16,119.5
city,Columbia,driving,NA,South Carolina,United States,2020-06-17,124.22
city,Columbia,driving,NA,South Carolina,United States,2020-06-18,127.87
city,Columbia,driving,NA,South Carolina,United States,2020-06-19,150.48
city,Columbia,driving,NA,South Carolina,United States,2020-06-20,149.98
city,Columbia,driving,NA,South Carolina,United States,2020-06-21,99.3
city,Columbia,driving,NA,South Carolina,United States,2020-06-22,123.87
city,Columbia,driving,NA,South Carolina,United States,2020-06-23,125.79
city,Columbia,driving,NA,South Carolina,United States,2020-06-24,126.24
city,Columbia,driving,NA,South Carolina,United States,2020-06-25,133.43
city,Columbia,driving,NA,South Carolina,United States,2020-06-26,151.78
city,Columbia,driving,NA,South Carolina,United States,2020-06-27,148.69
city,Columbia,driving,NA,South Carolina,United States,2020-06-28,110.92
city,Columbia,driving,NA,South Carolina,United States,2020-06-29,127.02
city,Columbia,driving,NA,South Carolina,United States,2020-06-30,130.05
city,Columbia,driving,NA,South Carolina,United States,2020-07-01,134.61
city,Columbia,driving,NA,South Carolina,United States,2020-07-02,144.56
city,Columbia,driving,NA,South Carolina,United States,2020-07-03,141.1
city,Columbia,driving,NA,South Carolina,United States,2020-07-04,110.95
city,Columbia,driving,NA,South Carolina,United States,2020-07-05,102.05
city,Columbia,driving,NA,South Carolina,United States,2020-07-06,125.28
city,Columbia,driving,NA,South Carolina,United States,2020-07-07,121.7
city,Columbia,driving,NA,South Carolina,United States,2020-07-08,125.25
city,Columbia,driving,NA,South Carolina,United States,2020-07-09,134.38
city,Columbia,driving,NA,South Carolina,United States,2020-07-10,150.4
city,Columbia,driving,NA,South Carolina,United States,2020-07-11,146.39
city,Columbia,driving,NA,South Carolina,United States,2020-07-12,106.28
city,Columbia,driving,NA,South Carolina,United States,2020-07-13,125.18
city,Columbia,driving,NA,South Carolina,United States,2020-07-14,127.92
city,Columbia,driving,NA,South Carolina,United States,2020-07-15,131.88
city,Columbia,driving,NA,South Carolina,United States,2020-07-16,136.61
city,Columbia,driving,NA,South Carolina,United States,2020-07-17,156.99
city,Columbia,driving,NA,South Carolina,United States,2020-07-18,155.2
city,Columbia,driving,NA,South Carolina,United States,2020-07-19,111.03
city,Columbia,driving,NA,South Carolina,United States,2020-07-20,124.37
city,Columbia,driving,NA,South Carolina,United States,2020-07-21,130.52
city,Columbia,driving,NA,South Carolina,United States,2020-07-22,130.66
city,Columbia,driving,NA,South Carolina,United States,2020-07-23,136.73
city,Columbia,driving,NA,South Carolina,United States,2020-07-24,152.3
city,Columbia,driving,NA,South Carolina,United States,2020-07-25,148.41
city,Columbia,driving,NA,South Carolina,United States,2020-07-26,109.85
city,Columbia,driving,NA,South Carolina,United States,2020-07-27,129.6
city,Columbia,driving,NA,South Carolina,United States,2020-07-28,131.91
city,Columbia,driving,NA,South Carolina,United States,2020-07-29,135.21
city,Columbia,driving,NA,South Carolina,United States,2020-07-30,137.38
city,Columbia,driving,NA,South Carolina,United States,2020-07-31,153.85
city,Columbia,driving,NA,South Carolina,United States,2020-08-01,149.84
city,Columbia,driving,NA,South Carolina,United States,2020-08-02,108.37
city,Columbia,driving,NA,South Carolina,United States,2020-08-03,125.8
city,Columbia,driving,NA,South Carolina,United States,2020-08-04,133.93
city,Columbia,driving,NA,South Carolina,United States,2020-08-05,132.15
city,Columbia,driving,NA,South Carolina,United States,2020-08-06,141.23
city,Columbia,driving,NA,South Carolina,United States,2020-08-07,158.62
city,Columbia,driving,NA,South Carolina,United States,2020-08-08,155.07
city,Columbia,driving,NA,South Carolina,United States,2020-08-09,122.01
city,Columbia,driving,NA,South Carolina,United States,2020-08-10,139.17
city,Columbia,driving,NA,South Carolina,United States,2020-08-11,141.81
city,Columbia,driving,NA,South Carolina,United States,2020-08-12,142.44
city,Columbia,driving,NA,South Carolina,United States,2020-08-13,145.86
