geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24
county,Berkeley County,driving,NA,South Carolina,United States,100,98.05,102.8,105.48,119.81,107.9,74.13,92.03,106.7,96.87,99.25,112.99,104.43,70.88,92.82,96.7,101.48,104.89,118.19,104.06,74.77,95.49,101.44,102.73,96.6,112.57,103.63,77.75,100.55,109.55,106.77,121.26,138.18,115.59,83.23,102.43,103.17,105.56,109.54,122.16,116.03,80.56,100.98,103.23,115.22,119.22,138.85,122.32,85.79,107.52,111.04,109.25,103.93,134.71,124.44,86.51,110.69,117.09,119.52,118.71,131.76,113.46,77.1,92.89,85.43,85.7,85,93.48,80.75,51.13,69.91,67.75,71.47,69.57,80.79,71.88,55.81,70.53,71.91,84.65,77.71,79.97,67.76,50.82,70.17,66.68,67.18,71.26,76.15,70.86,41.21,74.17,78.27,75.14,82.71,94.23,84.79,53.96,78.36,85.64,86.1,79.6,96.87,92.01,67.63,88.12,88.76,90.81,92.86,105.6,95.75,78.18,96.62,97.31,101.42,104.33,116.89,109.34,82.31,NA,NA,111.61,117.25,136.17,129.47,100.4,117.24,120.55,124.51,124.92,151.5,139.6,108.48,104.08,120.21,120.55,128.7,146.69,135.04,98.75,122.33,125.29,134.91,133.12,153.32,146.09,110.3,128.29,134.4,134.75,133.93,147.9,147.43,107.26,126.46,132.55,138.91,143.91,171.8,162.79,117.94,138.73,139.56,140.7,144.81,167.49,155.54,117.68,136.54,138.89,191.21,154.77,151.13,128.21,116.92,134.35,132.28,138.05,143.17,167.51,149.97,112.77,136.17,138.09,143.89,145.16,160.57,147.62,114.37,133.07,138.13,140.05,145.11,164.01,151.07,116.44,136.44,139.84,143.12,145.75,162.84,150.5,114.46,109.46,138.61,139.89,141.44,163.81,152.99,117.88,138,141.28,138.85,146.48,166.4,147.69,113.1,139.42,135.28,141.54,144.02,161.34,144.65,108.46,127.44,131.21,139.63,140.84,165.41,147.47,109.26,136.48,144.35,146.18,150.24,178.14,156.35,122.08,118.35,140.11,134.63,141.15,162.04,148.45,113.6,136.03,139.11,133.1,138.66,163.43,153.29,110.85,143.21,132.19,132.88,144.19
county,Berkeley County,walking,NA,South Carolina,United States,100,102.98,105.37,111.75,119.68,118.57,81.26,112.52,91.14,94.8,104.6,118.74,122.74,77.17,89.35,96.59,102.39,99.4,106.05,118.06,83.48,101.45,100,116.01,97.61,105.45,115.16,86.46,103.83,120.19,103.83,113.2,165.42,151.7,97.02,107.5,107.67,105.11,111.16,126.06,147.44,98.13,98.04,94.12,109.71,115.67,148.21,138.25,86.12,111.16,105.28,115.33,107.75,134.75,145.91,98.72,124.7,121.04,110.82,122.91,140.8,149.4,91.57,114.99,106.05,129.98,96.34,110.82,97.79,63.8,86.8,85.86,97.27,99.91,118.57,101.02,90.55,92.25,92.59,104.51,106.81,106.47,96.17,77,96.76,87.05,92.59,93.1,104.86,113.63,66.78,106.98,108.69,95.4,110.39,115.33,122.49,65.42,101.7,118.57,106.56,103.58,130.83,120.1,90.72,116.87,124.7,112.35,124.36,140.2,121.89,107.33,121.21,127.77,128.71,119.17,144.89,147.7,97.36,128.11,88.33,151.79,150.85,176.66,171.89,120.44,172.49,170.78,158.6,167.55,195.83,183.39,143.1,137.73,166.95,187.99,194.04,212.86,206.22,136.2,200.51,178.02,175.47,176.41,207.33,195.23,140.97,169.76,195.66,183.13,183.39,194.97,201.87,132.79,159.71,170.36,193.53,177,206.39,199.66,149.49,183.56,173.68,179.3,193.53,230.49,207.5,152.9,179.22,177.6,214.65,212.18,219.68,181.77,152.04,195.32,175.38,192.25,198.47,244.55,225.72,147.7,207.16,192.93,192.93,203.83,222.4,209.03,147.44,191.65,211.84,198.64,194.29,213.12,194.72,148.04,178.45,205.62,199.74,208.77,219.08,202.04,143.19,152.9,205.2,193.44,184.58,236.29,218.91,161.84,182.96,178.36,186.8,202.3,246.17,236.29,160.99,176.15,189.61,186.63,200.77,229.64,212.52,166.61,169.76,183.13,193.44,196.59,236.63,219.34,145.91,194.04,215.33,185.09,220.02,231.43,235.43,172.23,177.94,191.65,185.52,190.29,230.92,223.34,161.24,191.48,189.69,169.08,180.07,217.89,216.27,159.54,178.19,171.21,174.87,196.08
county,Calhoun County,driving,NA,South Carolina,United States,100,98.01,99.44,115.33,183.41,125.21,110.65,136.08,96.45,102.77,109.14,148.07,130.62,112.82,97.66,92.42,96.06,116.2,184.67,135.17,115.76,106.71,99.65,97.62,106.63,149.24,124.99,118.93,109.61,105.59,107.84,310.61,210.7,157.9,226.38,152.19,113.47,129.58,121.83,169.38,161.33,143.31,109.61,112.26,114.81,141.01,206.84,243.4,155.52,109.31,106.97,114.29,130.53,242.75,202.77,166.78,148.38,120.79,130.58,153.01,239.71,190.65,164.79,133.48,114.81,124.6,118.36,139.71,121.35,85.62,88.18,74.92,83.63,82.11,101.82,81.77,66.48,78.35,67.17,73.5,72.98,81.2,78.87,56.3,72.07,64.23,68.95,73.28,75.53,76.48,46.86,79.3,71.63,74.88,82.42,99.35,90.56,62.45,78.09,84.06,87.53,84.58,107.1,91.47,82.33,90.26,87.92,84.58,99.09,121.57,117.54,99.87,109.66,104.72,117.76,110.26,150.58,134.08,110.78,NA,NA,127.59,143.57,171.63,182.2,152.4,126.98,137.9,185.36,161.15,241.71,200.04,141.84,206.32,141.88,126.33,148.94,192.38,192.16,168.51,149.63,134.3,158.94,167.56,233.09,300.69,186.05,155.87,148.07,160.16,164.23,249.68,329.41,200.82,151.84,144.82,158.03,178.56,247.51,432.39,214.68,170.9,157.9,152.66,183.24,264.92,409.4,269.12,169.29,155.61,179.17,307.58,233.74,191.12,308.06,189.87,158.03,156.34,180.81,215.89,316.41,195.32,183.8,141.27,155.74,185.66,231.14,372.8,222.17,156.43,154.74,157.73,177.35,266.35,348.2,213.47,168.6,140.97,156.17,183.8,238.5,373.93,195.28,133.17,147.77,146.64,169.12,220.66,272.89,232.91,175.4,149.94,153.57,175.49,213.34,317.93,224.25,157.9,135.77,159.9,154.92,201.52,206.84,187.96,137.51,125.6,138.2,150.06,196.36,184.02,172.24,145.91,123.73,141.84,177.26,497.06,210.65,165.27,309.35,146.38,139.67,147.34,215.81,204.24,183.89,134.17,117.32,133.56,162.49,194.37,186.01,178.22,135.82,128.76,137.64,159.46
county,Charleston County,driving,NA,South Carolina,United States,100,99.06,105.41,116.23,129.97,119.01,88.08,99.78,99.15,100.68,103.45,117.41,118.7,81.95,94.38,99.7,102.94,111.94,122.67,113.91,79.7,98.72,101.42,104.66,102.1,121.35,121.04,92.01,101.7,108,113.55,135.09,149.68,141.33,102.86,110.78,110.37,113.4,119.76,136.79,135.1,93.82,107.18,113.41,125.74,129.72,153.71,144.92,103.24,113.96,114.23,111.55,114.18,151.29,146.54,104.24,123.74,129.28,134.13,130.39,152.42,125.91,85.98,93.44,82.97,78.09,76.4,80.48,63.28,40.91,54.22,52.76,53.91,52.64,57.91,51.14,40.17,52.44,51.15,51.79,52.25,57.39,46.94,36.07,52.22,50.7,50.49,53.31,57.05,48.41,28.89,47.43,56.44,53.76,60.22,68.13,60.1,39.46,58.48,65.85,65.43,61.37,73.88,67.37,53.57,69.03,71.31,74.03,72.73,86.08,78.46,62.46,80.59,84.39,85.33,89.18,97.9,93.97,68.21,NA,NA,99.29,105.06,122.79,131.57,99.9,110.07,111.98,116.23,120.18,150.34,157.54,127.68,112.36,118.86,118.33,128.17,140.93,141.59,100.14,116.56,124.85,129.83,133.91,149.54,154.67,116.17,130.82,136.88,136.34,141.39,155.1,162.39,119.93,134.28,140.74,143.4,149.24,172.84,175.45,126.69,144.65,148.07,147.43,152.45,174.36,174.32,129.92,142.39,140.96,173.82,159.19,168.6,144.79,127.13,138.74,132.62,137.81,144.87,164.84,156.92,119.16,137.49,138.56,140.04,147.76,164.21,162.36,121.71,137.04,139.98,142.36,146.92,163.87,159.89,122.45,138.02,139.35,142.23,150.63,163.95,162.78,117.75,97.54,134.47,139.61,145.15,167.08,161.97,123.05,138.66,139.22,141.13,147.06,168.35,160.97,121.44,140.34,136.94,139.43,144.28,163.25,155.36,112.88,123.88,127.98,139.86,141.17,162.62,157.23,114.23,130.37,133.84,138.28,147.37,179.71,183.49,157.71,128.75,128.27,130.17,141.67,166.2,164.08,119.65,133.87,135.75,131.71,138.67,161.42,165.86,119.47,138.42,133.53,132.98,143.14
county,Charleston County,walking,NA,South Carolina,United States,100,92.8,98.96,108.39,148.86,207.62,133.1,99.93,84.55,88.31,97.79,132.34,190.95,95.76,91.64,99.91,95.63,111.52,127.69,167.05,96.72,92.53,90.97,99.75,96.72,149.06,182.32,111.42,97.5,99.97,106.71,123.25,195.43,261.46,150.68,128.36,101.94,110.82,104.64,165.12,206.81,115.56,118.08,116.52,114.61,143.39,200.94,228.44,131.39,111.48,109.63,98.48,111.6,213.73,251.71,161.67,154.2,156.91,153.41,153.57,176.45,192.7,101.39,88.15,73.72,59.72,57.43,57.53,47.99,28.77,40,36.91,38.86,35.22,38.05,38.62,30.51,37.37,32.33,33.45,35.52,42.29,35.6,28.24,37.1,36.61,36.65,37.46,42.06,35.95,21.13,32.39,39.3,32.54,41.6,41.82,44.46,25.42,39.87,43.81,47.29,38.48,47.2,51.68,39.25,46.41,48.44,52.43,46.69,58.97,61.23,48.31,54.86,61.42,54.59,60.15,68.46,76.67,51.67,60.52,51.8,75.53,82.07,104.4,126.54,88.83,88.64,92.45,87.67,101.21,147.51,189.13,162.06,114.47,109.34,96.02,114.07,141.92,151.05,84.68,92.75,101.18,110.05,118.79,133.57,155.72,107.48,113.83,117.2,124.55,135.08,171.76,200.33,123.31,140.43,138.79,145.04,147.14,177.97,204.36,124.42,140.68,136.31,142.42,163.75,193.8,217.26,134.18,134.07,130.54,140.91,168.29,203.88,196.13,137.31,131.84,117.77,127.94,147.43,176.88,174.27,122.1,127.32,125.05,125.42,133.86,170.43,183.78,119.08,125.53,122.74,128.48,133.01,167.07,190.05,116.86,129.47,124.15,128.78,143.02,166.51,180.58,119.5,78.42,116.57,127.04,134.56,181.26,184.55,126.64,126.8,127.44,126.77,136.3,178.75,197.23,134.79,132.36,121.8,129.34,145.39,186.82,205.29,119.57,112.1,115.65,118.99,139.5,168.92,199.93,119.14,110.32,117.78,120.54,137.4,202.06,276.17,227.65,135.1,116.65,115.43,136.29,198.71,230.34,158.95,160.52,157.87,138.46,157.71,206.23,243.03,139.08,136.17,140.29,141.15,157.33
county,Cherokee County,driving,NA,South Carolina,United States,100,101.24,144.37,114.12,145.34,117.44,101.55,137.85,104.9,103.32,107.73,136.88,123.79,93.04,95.83,103.38,98.74,115.49,128.41,126.76,87.53,110.82,103.19,97.31,99.65,135.41,108.97,107.88,102.86,107.09,111.15,127.86,175.83,140.51,111.82,135.76,106.26,126.94,99.52,150.53,134.87,108.74,104.97,112.57,121.4,138.5,171.24,150.66,132.89,112.31,124.89,113.99,121.75,164.05,157.8,135.21,117.89,122.95,122.9,123.21,164.47,128.91,107.35,117.17,99.55,94.12,122.95,110.16,94.77,65.05,117.99,82.96,88.32,91.73,103.41,91.19,65.32,84.03,72.05,80.78,86.73,89.11,72.83,60.45,75.56,73.88,73.4,84.17,81.01,68.71,49.12,79.76,89.32,92.91,93.42,103.1,92.68,65.58,85.94,96.73,96.23,86.45,109.12,87.84,83.27,96.55,106.56,95.09,111.22,128.05,123.62,97.37,106.97,100.1,114.47,128.44,138.6,130.05,97.15,NA,NA,122.01,140.88,151.04,147.37,118.17,124.29,117.74,117.04,137.14,169.77,164.18,122.54,123.43,135.79,133.44,142.74,165.23,161.75,125.84,136.01,151.86,135,145.24,164.91,153.22,132.01,150.41,145.35,138.83,154.49,181.18,167.7,140.02,152.48,134.48,143.6,173.68,176.83,198.57,169.16,150.09,145.47,146.16,159.09,176.45,182.9,152.63,154.82,158.78,161.36,180.52,202.56,159.37,148.36,156.27,145.43,147.59,159.03,211.02,178.37,144.02,148.04,141.95,153.46,169.19,191.82,175.55,149.69,156.27,149.47,150.86,166.97,196.21,185.44,151.8,161.9,157.85,145.28,168.65,204.88,190.21,183.48,161.47,166.3,166.18,168.05,190.89,187.07,192.08,162.31,162.93,184.87,164.85,203.22,193.7,172.16,156.14,156.68,151.23,174.32,188.29,176.22,146.64,150.25,145.02,159.06,151.91,176.85,174.67,153.35,138.99,146.33,155.31,170.34,224.13,185.19,151.37,189.4,147.49,146.38,156.23,195.57,182.97,149.52,139.92,146.73,142.97,147.09,220.32,181.47,143,148.01,138.26,168.68,144.26
county,Chester County,driving,NA,South Carolina,United States,100,100.38,104.72,123.46,154.17,119.84,114.45,131.26,105.04,106.67,105.07,128.93,123.86,99.1,105.07,104.17,105.39,113.29,145.98,134.56,100.23,106.82,103.09,98.66,103.73,150.73,124.18,128.96,105.74,107.81,113.02,131.41,165.5,141.58,111.89,125.32,111.1,121.62,111.33,160.98,151.43,121.12,111.19,112.79,109.56,137.21,167.83,170.22,135.64,125.35,111.89,122.23,129.4,206.38,200.99,140.41,133.51,133.54,127.19,139.34,170.57,161.86,124.1,121.91,113.32,103.9,102.27,121.5,120.54,77.33,78.26,80.51,89.74,85.9,95.69,90.09,72.12,82.31,72.67,84.12,83.68,98.25,80.83,63.96,81.73,75.26,78.09,79.69,92.83,85.26,58.57,87.15,93.27,94.99,93.12,102.07,98.16,68.82,84.38,90.24,96.36,87.67,108.13,102.59,88.64,109.5,96.53,93.88,114.16,124.97,136.19,107.58,112.85,109.12,126.75,129.43,145.02,151.92,115.82,NA,NA,126.4,142.72,167.42,174.01,144.06,139.31,126.92,129.4,137.56,188.37,178.06,138.96,148.63,150.55,133.71,144.99,159.41,177.27,144.41,150.17,145.02,154.92,151.05,185.81,195.48,156.06,155.3,149.68,153.09,184.76,205.8,208.54,165.41,158.86,159.82,156.88,169.76,202.21,218.71,177.3,162.73,174.91,157.43,167.51,203.55,220.19,170.92,165.53,168.56,166.67,196.53,201.98,173.57,183.01,166.78,134.59,146.65,173.6,208.71,222.9,164.42,165.27,154.52,156.93,185.46,202.21,218.82,159.94,159.91,154.52,157.95,173.34,226.19,222.93,177.1,152.13,156.09,158.04,167.22,193.85,219.26,160.49,141.11,154.6,153.82,163.81,187.3,215.56,169.99,158.19,152.33,154.81,164.22,193.76,196.59,164.42,148.57,143.94,146.15,153.47,186.31,192.57,152.71,152.01,137.03,143.85,155.8,189.63,178.99,145.54,138.34,141.58,150.17,164.42,221.1,204.87,165.62,173.02,150.93,140.18,156.18,181.99,203.15,152.21,143.65,142.89,145.25,131.15,183.83,186.22,148.83,136.04,148.92,145.43,156.64
county,Chesterfield County,driving,NA,South Carolina,United States,100,95.38,96.29,103.71,127.28,109.94,90.57,105.57,108.45,103.53,105.79,114.06,106.15,88.49,98.07,97.89,95.27,114.53,120.9,118.5,89.69,97.74,103.24,109.21,93.74,127.46,105.86,94.39,106.12,114.2,114.86,113.66,134.96,120.14,93.48,106.77,108.01,109.25,100.76,125.16,123.74,96.58,97.31,111.11,113.44,123.96,156.37,150.18,106.37,118.32,119.41,116.21,117.44,151.68,139,114.75,126.04,122.54,124,129.42,142.75,137.14,97.74,109.4,103.42,108.92,110.49,118.21,95.27,79.9,87.69,87.98,85.83,96.03,97.82,82.52,83.1,89.08,82.34,88.86,91.26,103.64,78.77,61.62,94.06,82.19,87.07,100.73,94.06,78.73,52.91,104.7,103.1,103.53,115.55,115.62,101.97,78.26,101.78,106.15,112.05,100.44,123.6,105.57,95.96,118.75,121.23,114.86,111.07,137.51,124.47,107.47,137.29,117.37,123.05,128.48,138.67,129.28,109.91,NA,NA,150.51,146.47,180.52,163.8,144.87,150.25,126.04,128.33,150.51,184.05,185.98,133.14,154.12,165.29,134.81,166.53,200.87,214.97,186.34,157.17,154.19,167.15,166.1,194.25,170.32,159.18,153.1,142.94,157.98,166.28,196.03,189.29,148.58,158.7,149.96,142.35,181.83,198.51,188.93,151.31,182.05,171.7,163.47,173.23,202.99,188.67,163.36,173.27,165.15,166.72,178.04,185.87,183.39,163.8,168.1,163.44,151.31,183.39,199.93,226.66,172.25,167.63,180.74,168.68,163.15,187.65,209.76,156.34,157.28,161.07,169.34,174.54,187.58,188.82,150.66,175.6,173.02,170.03,170.76,192.24,180.95,150.95,140.5,160.92,156.55,156.55,189.4,189.26,170.61,163.51,154.48,170.07,168.1,191.33,168.28,148.87,156.81,174.03,158.78,163.87,178.26,168.9,139.55,146.43,143.45,154.81,160.6,187,153.97,150.25,144.94,155.35,155.75,162.27,200.33,196.43,153.24,178.55,163.33,150.58,158.67,172.36,160.63,133.28,153.13,153.71,161.11,143.63,190.71,170.9,139.77,147.34,145.48,146.8,160.42
county,Clarendon County,driving,NA,South Carolina,United States,100,95.18,97.58,115.94,145.26,124.85,105.99,115.46,95.92,100.08,110.1,125.15,120.38,92.81,99.97,97.22,91.15,110.41,142.96,124.77,98.85,107.07,102.63,97.68,100.89,127.68,126.79,105.1,102.83,100.66,107.04,135.03,167.76,151.86,122.68,131.45,106.17,100.99,112.27,148.95,152.45,117.73,106.07,105.15,110.79,128.42,176.58,171.15,137.5,113.93,107.6,116.53,126.35,186.3,187.42,154.29,130.61,118.62,130.05,149.85,201.2,203.93,168.67,136.25,130.48,126.81,141.96,142.68,217.02,101.79,90.89,85.99,84.11,90.56,106.96,105.41,94.34,90.74,78.24,80.59,80.1,82.65,83.75,64.34,75.41,68.88,71.71,77.83,83.47,83.19,53.55,73.09,85.94,77.32,90.43,103.65,103.83,65.59,85.51,96.84,94.49,83.04,115.33,107.55,92.7,96.02,94.97,99.92,105.36,133.55,127.96,108.47,109.29,106.58,112.73,127.42,146.81,150.97,119.52,NA,NA,130.18,145.61,172.09,185.74,154.92,140.84,125.46,135.08,173.7,219.03,212.76,175.69,171.43,158.27,135.71,158.7,191.89,209.01,172.88,157.22,141.94,145.28,171.45,207.78,243.98,175.36,157.86,156.2,168.7,174.85,211.96,239.06,189.72,174.85,155.48,168.88,175.1,225.13,288.62,197.58,178.88,164.13,168.09,179.95,232.68,245.87,200.2,173.16,170.92,181.89,226.15,246.91,239.44,237.47,184.95,154.11,147.5,167.5,209.57,236.76,182.3,158.04,152.93,161.79,173.14,201.15,235.03,180.13,155.38,148.95,149.11,178.21,201.51,233.75,178.83,160.56,148.93,158.9,173.24,220.54,232.5,181.96,136.17,143.72,146.63,163.11,209.9,229.8,207.78,153.93,157.09,158.62,176.3,204.26,221.15,161.07,152.91,140.94,138.78,165.79,187.7,220.28,161.35,133.55,129.18,142.96,152.02,183.06,196.02,154.69,135.94,149.21,138.9,168.9,224.23,204.85,171.51,192.07,141.51,136.68,147.22,170.94,175.71,143.9,134.11,127.42,129.57,130.97,179.26,172.09,148.32,130.82,125.66,128.83,145.87
county,Colleton County,driving,NA,South Carolina,United States,100,97.32,101.41,120.03,168.04,134.6,114.63,131.32,92.94,100.74,109.1,128.79,120.19,108.55,100.1,90.71,98.06,115.47,150.23,128.76,106.18,106.55,97.91,112.23,109.53,139.38,130.58,132.79,108.53,98.28,118.09,160.9,188.05,177.97,152.91,159.7,115.79,115.22,143.31,170.99,161.23,137.13,108.57,103.36,115.38,128.89,177.88,185.82,167.98,124.14,111.89,157.81,144.99,209.68,218.74,213.75,145.36,136.01,146.77,182.82,232.49,277.07,316.74,226.76,199.78,186.82,202.03,159.37,173.63,105.59,82.69,78.99,85.45,84.7,96.28,91.63,80.91,74.84,67.9,69.95,75.2,81.96,74.22,54.54,61.4,61.13,60.7,68.6,78.93,65.71,45.05,80.22,79.99,77.39,74.88,92.9,95.74,60.94,78.62,82.37,83.04,77.17,96.44,95.03,83.35,91.49,90.04,92.55,103.74,130.22,121.07,122.38,101.04,101.62,107.36,120.38,144.7,140.75,123.63,NA,NA,126.25,150.61,174.1,182.59,158.47,140.12,130.26,134.74,197.2,241.82,225.92,165.59,197.16,157.02,138.67,157.32,188.56,212.46,187.97,155.99,142.86,153.13,179.83,213.09,292.9,209.57,160.82,161.15,166.24,207.98,222.12,295.58,224.75,176.45,176.49,172.95,198.45,255.44,354.58,217,194.62,175.78,184.64,207.82,271.99,344.95,268.78,185.27,184.04,222.14,266.55,270.91,214.32,279.91,211.15,172.89,176.37,195.4,236.01,310.92,217.94,169.25,167.21,165.36,186.01,238.2,341.31,237.97,165.57,160.84,182.36,200.59,265.77,332.34,224.53,167.23,159.62,182.32,200.74,234.43,310.37,217.72,150.39,171.13,170.89,198.22,226.8,275.47,234.55,183.35,157.84,179.93,191.37,230.59,268.51,210.04,167.63,157.69,157.53,182.94,211.25,207.9,182.86,134.47,136.13,141.74,154.97,199.04,205.18,167.84,143.53,143.72,146.3,185.13,271.34,238.62,189.67,233.76,148.77,137.77,155.46,198.14,213.05,199.33,134.29,134.7,136.27,162.11,191.26,189.93,220.83,140.02,133.61,143.27,159.04
county,Darlington County,driving,NA,South Carolina,United States,100,102.74,111.52,114.12,134.23,112.59,84.52,110.4,106.89,103.14,104.37,124.23,121.15,87.81,96.28,103.37,102.68,119.76,129.16,129.11,89.69,104.09,104.89,105.42,95.67,127.95,116.76,93.51,96.34,105.7,108.54,115.29,149.94,130.42,94.21,112.27,107.79,106.52,107.94,136.44,128.07,95.42,102.72,106.15,115.43,123.53,151.17,138.77,108.75,113.41,110.42,113.2,115.11,157.41,150.76,114.9,123.48,130.39,131.83,132.3,158.67,140.47,101.44,115.29,101.72,104.35,101.32,113.59,100.3,73.31,82.1,79.77,87.78,91.06,99.61,90.6,70.42,85.66,83.78,83.06,86.02,98.21,87.94,66.93,83.78,79.36,82.76,88.94,94.46,81.82,50.55,84.6,88.16,94.11,95.46,111.1,103.03,72.82,88.44,103.96,109.96,99.56,121.41,120.46,83.18,109.49,103.44,107.19,116.29,136.68,125.27,104.94,117.83,121.06,124.18,124.62,146.61,153.83,112.41,NA,NA,133.63,152.27,173.66,171.45,159.34,142.36,149.41,152.24,157.08,191.44,165.21,121.83,140.72,161.76,130.81,159.53,175.21,178.43,138.37,167.02,160.9,164.21,165.44,185.27,188.15,153.43,157.37,149.82,154.73,169.03,193.86,199.23,142.7,144.61,152.99,157.18,166.98,195.2,220.25,146.41,163.18,156.11,168,165.9,208.38,230.56,159.51,165.28,165.12,170.49,199.54,201.39,172.93,152.78,159.21,150.25,148.26,168.33,200.86,212.73,143.52,162.49,173.42,178.52,173.72,195.46,209.66,139.89,160.55,170.59,164.79,174.47,189.27,193.9,143.12,167.09,156.92,164.46,168.37,193.86,178.41,139.22,136.98,154.23,156.13,170.61,191.65,202.17,144.64,163.26,161.44,169.51,165.26,193.07,179.96,141.71,165.19,171.84,165.3,175.29,191.86,177.29,132.07,152.62,151.01,154.04,166.21,194.41,178.17,138.33,160.32,154.9,160.76,170.44,231.98,198.02,199.74,163.58,156.85,152.8,165.74,190.06,167,135.82,143.5,149.47,147.61,143.56,197.49,189.37,134.86,142.73,142.85,149.01,157.57
